116 733
117 793
79 537
115 503
77 704
113 423
111 460
36 334
82 258
86 337
87 545
126 997
127 295
69 625
68 297
122 340
22 404
24 772
25 348
26 841
27 369
31 711
74 413
134 719
59 302
133 435
58 255
57 297
19 286
18 881
15 403
14 894
12 719
20 229
109 565
108 268
107 245
106 264
64 1002
65 529
104 816
62 421
103 222
99 638
102 3555
60 1242
101 759
61 262
48 761
94 232
93 330
92 405
46 267
91 239
90 433
51 261
52 275
53 928
54 226
88 687
50 900
102 126 937
102 127 276
104 126 241
102 122 324
14 60 271
12 64 240
12 60 255
18 53 234
14 53 238
18 50 214
126 50 235
116 60 268
102 74 378
117 60 271
126 53 276
102 77 668
116 64 214
102 79 502
126 60 379
102 117 739
102 115 473
102 82 250
102 116 698
101 117 234
102 113 406
26 60 319
102 111 427
18 60 343
14 64 257
102 87 514
126 64 274
102 88 636
102 86 312
102 51 243
102 50 837
14 31 213
60 77 255
102 57 282
102 58 233
102 59 262
104 50 231
102 52 254
102 53 882
104 53 225
104 60 286
102 62 396
102 61 246
102 60 1166
101 60 254
14 50 259
102 133 406
102 134 673
102 69 587
116 53 221
109 60 228
60 88 258
117 53 220
102 68 272
102 65 489
64 88 219
102 64 923
102 31 629
53 64 258
50 64 260
102 36 304
53 60 340
126 14 228
50 60 316
126 18 254
102 109 530
102 108 244
102 107 219
102 48 710
102 106 246
18 26 219
60 64 340
102 46 229
102 104 765
101 102 697
126 26 227
126 77 227
102 99 600
134 64 218
26 64 229
102 12 667
102 15 319
102 14 835
31 60 223
102 94 216
134 60 227
102 92 375
102 93 307
102 90 382
102 91 215
104 14 236
102 19 261
102 18 823
14 88 245
50 53 225
102 26 779
102 25 311
102 24 697
102 22 377
48 60 272
102 27 342
102 14 50 249
102 50 53 218
102 14 53 225
102 26 60 299
102 60 64 315
102 18 53 226
102 134 60 218
102 60 88 240
102 126 60 357
102 116 53 215
102 109 60 213
102 126 64 250
102 104 60 271
102 48 60 259
102 14 64 241
102 18 60 325
102 53 64 244
102 50 64 239
102 14 60 256
102 53 60 322
102 12 64 228
102 50 60 297
102 126 77 215
102 104 126 226
101 102 60 237
102 60 77 242
101 102 117 215
102 126 14 220
102 104 53 216
102 126 50 216
102 116 60 255
102 117 60 256
102 126 53 267
102 104 14 227
102 126 18 241
102 104 50 217
102 12 60 242
102 14 88 229
