116 334
79 283
115 361
113 275
110 289
34 310
119 278
38 515
86 914
84 510
85 444
125 954
69 618
68 501
122 591
124 535
22 1278
23 371
25 309
1 2190
0 335
30 345
70 425
76 484
134 352
59 773
133 1057
19 387
136 309
55 513
137 292
17 310
18 363
20 508
99 1142
102 380
100 263
98 599
97 585
96 664
95 643
45 658
147 478
93 250
92 640
91 329
90 504
183 267
185 251
51 327
52 433
140 978
142 386
141 533
50 435
1 141 500
1 140 908
59 99 439
1 20 468
59 96 263
55 99 286
59 95 261
125 59 347
22 45 375
1 137 280
1 23 349
1 22 1202
133 45 329
1 136 294
125 55 262
1 133 985
1 134 326
1 25 279
140 45 270
69 99 318
68 99 265
1 99 1070
1 98 544
1 92 591
1 19 359
1 18 336
1 90 488
1 91 306
22 59 457
1 96 619
1 97 547
1 95 606
22 55 303
1 147 434
133 55 260
76 99 265
1 142 351
125 69 251
1 17 287
133 59 410
38 99 265
147 99 273
122 125 257
1 84 484
141 99 259
1 85 417
140 99 516
1 86 846
140 98 281
140 97 264
140 96 342
140 95 286
140 92 303
133 22 619
45 99 358
141 22 319
140 22 615
59 86 359
0 1 301
1 79 264
1 76 455
1 70 397
22 38 274
147 22 311
125 45 260
124 99 312
125 98 289
125 97 270
125 96 327
122 99 319
125 95 281
125 140 493
125 99 516
22 98 339
1 68 473
22 97 368
22 96 412
22 95 361
1 69 576
22 92 387
22 90 295
133 140 496
133 141 259
133 86 446
125 92 294
133 99 613
133 98 302
20 22 274
125 133 496
124 133 274
122 133 290
1 51 312
22 99 656
1 50 408
1 52 412
124 22 328
1 55 482
1 102 354
122 22 347
45 86 272
1 59 720
125 22 580
122 140 278
133 92 339
140 86 402
133 95 356
133 96 355
133 97 308
98 99 277
140 147 253
97 99 342
96 99 394
95 99 409
133 69 295
92 99 364
140 59 352
22 69 330
1 110 267
1 45 619
1 116 316
22 76 293
1 115 347
1 119 266
86 99 494
133 76 256
86 96 272
86 95 270
125 86 384
86 92 272
1 30 323
45 59 262
1 38 503
1 122 553
1 125 888
22 85 251
22 84 286
1 124 499
1 34 288
22 86 525
125 133 99 305
1 22 38 269
125 133 140 268
140 22 86 267
1 133 22 584
1 98 99 260
1 92 99 339
1 140 59 329
1 124 133 259
133 22 99 371
1 125 133 458
22 96 99 250
1 45 99 338
1 96 99 371
1 59 86 334
1 97 99 323
1 140 22 576
1 122 133 269
1 141 22 302
1 95 99 393
1 133 69 280
133 22 59 260
1 22 76 280
1 22 84 272
1 22 86 495
1 22 45 357
133 22 86 273
1 147 22 290
1 125 92 267
1 59 99 413
22 86 99 294
1 86 95 256
1 125 86 353
1 86 96 256
1 55 99 271
125 22 99 318
1 86 99 455
133 86 99 275
133 59 99 259
1 133 95 341
1 133 96 333
1 140 86 373
1 133 92 315
1 140 45 256
1 22 92 362
1 22 90 288
1 22 97 346
133 140 22 324
1 22 96 385
1 133 140 458
1 22 95 347
1 76 99 251
133 95 99 255
1 22 98 313
125 140 22 324
1 22 99 620
1 133 45 311
1 22 55 290
1 125 99 486
1 124 99 293
1 125 98 258
1 125 97 251
1 125 96 300
1 122 99 302
1 22 59 430
1 125 95 268
1 133 86 412
125 22 86 252
1 125 59 323
1 140 98 250
1 140 99 489
125 140 99 270
1 140 95 270
1 140 96 319
1 69 99 301
1 125 22 540
140 22 99 346
1 124 22 312
1 140 92 276
1 122 140 258
22 59 99 273
1 122 22 329
1 68 99 252
1 125 140 457
1 45 86 256
1 133 59 381
125 133 22 313
1 38 99 260
1 20 22 263
1 133 98 275
1 22 69 317
133 140 99 301
1 133 97 288
1 133 99 579
1 133 140 22 304
1 125 22 99 298
1 125 133 22 291
1 133 22 99 353
1 133 22 86 258
1 22 86 99 276
1 125 140 99 257
1 125 133 99 287
1 140 22 99 329
1 140 22 86 250
1 125 140 22 302
1 133 140 99 287
1 133 86 99 253
1 22 59 99 259
